x,y
87.72,192.808
79.77,181.678
74.88,174.832
67.05,163.87
73.75,173.25
69.58,167.412
67.21,164.094
72.13,170.982
87.64,192.696
65.42,161.588
83.09,186.326
73.3,172.62
76.75,177.45
69.17,166.838
87.61,192.654
83.56,186.984
75.57,175.798
73.8,173.32
75.75,176.05
97.13,205.982
6.54,79.156
54.31,146.034
57.36,150.304
93.54,200.956
98.26,207.564
87.27,192.178
66.44,163.016
98.24,207.536
27.74,108.836
10.51,84.714
88.17,193.438
22.66,101.724
30.46,112.644
65.24,161.336
1.71,72.394
91.29,197.806
77.43,178.402
68.29,165.606
33.43,116.802
60.4,154.56
15.86,92.204
61.96,156.744
11.05,85.47
23.99,103.586
21.13,99.582
34.79,118.706
22.32,101.248
78.29,179.606
25.38,105.532
94.49,202.286
35.62,119.868
58.2,151.48
98.37,207.718
93.79,201.306
26.98,107.772
30.55,112.77
5.86,78.204
78.96,180.544
93.19,200.466
24.73,104.622
94.91,202.874
61.84,156.576
2.6,73.64
95.93,204.302
95.39,203.546
20.24,98.336
29.93,111.902
68.29,165.606
36.68,121.352
93.29,200.606
30.53,112.742
48.1,137.34
83.17,186.438
8.22,81.508
8.76,82.264
97.71,206.794
13.28,88.592
1.07,71.498
11.16,85.624
20.98,99.372
21.89,100.646
11.51,86.114
3.22,74.508
41.33,127.862
9.72,83.608
10.91,85.274
40.75,127.05
81.92,184.688
54.44,146.216
11.35,85.89
69.49,167.286
50.51,140.714
74.84,174.776
77.35,178.29
81.72,184.408
11.65,86.31
13.48,88.872
79.02,180.628
84.93,188.902
59.13,152.782
70.14,168.196
58.9,152.46
28.64,110.096
43.71,131.194
58.86,152.404
78.67,180.138
94.74,202.636
70.31,168.434
16.2,92.68
58.59,152.026
70.81,169.134
7.86,81.004
91.46,198.044
34.05,117.67
24.06,103.684
66.23,162.722
58.69,152.166
0.18,70.252
20.48,98.672
63.79,159.306
27.38,108.332
39.12,124.768
85.45,189.63
48.89,138.446
81.54,184.156
20.52,98.728
16.33,92.862
82.69,185.766
78.03,179.242
3.36,74.704
9.16,82.824
5.56,77.784
96.94,205.716
46.54,135.156
13.32,88.648
21.63,100.282
35.36,119.504
92.63,199.682
35.77,120.078
24.99,104.986
78.27,179.578
44.2,131.88
8.41,81.774
22.39,101.346
4.01,75.614
61.57,156.198
39.85,125.79
76.59,177.226
49.6,139.44
54,145.6
92.2,199.08
98.73,208.222
56.18,148.652
75.1,175.14
36.91,121.674
36.52,121.128
47.65,136.71
72.52,171.528
50.78,141.092
85.76,190.064
14.41,90.174
48.66,138.124
50.39,140.546
95.63,203.882
69.74,167.636
25.53,105.742
67.15,164.01
55.44,147.616
20.44,98.616
98.96,208.544
47.04,135.856
58.45,151.83
57.79,150.906
83.84,187.376
61.97,156.758
37.66,122.724
65.32,161.448
32.31,115.234
64.08,159.712
53.53,144.942
46.02,134.428
8.19,81.466
75.24,175.336
11.54,86.156
37.35,122.29
17.9,95.06
68.74,166.236
35.61,119.854
12.89,88.046
51.57,142.198
69.44,167.216
55,147
9.46,83.244
7.32,80.248
18.69,96.166
91.8,198.52
23.13,102.382
79.77,181.678
25.92,106.288
88.84,194.376
59.62,153.468
20.02,98.028
66.18,162.652
22.33,101.262
34.98,118.972
27.88,109.032
74.11,173.754
63.45,158.83
34.17,117.838
59.99,153.986
26.78,107.492
30.99,113.386
3.26,74.564
51.85,142.59
38,123.2
69.57,167.398
55.77,148.078
38.64,124.096
31.94,114.716
33.57,116.998
49.34,139.076
60.37,154.518
48.79,138.306
53.62,145.068
44.49,132.286
40.72,127.008
62.3,157.22
86.71,191.394
28.92,110.488
3.64,75.096
2.98,74.172
7.72,80.808
36.01,120.414
12.8,87.92
18.18,95.452
8.74,82.236
93.05,200.27
78.51,179.914
9.32,83.048
28.43,109.802
5.63,77.882
5.75,78.05
33.39,116.746
98.06,207.284
61.33,155.862
90.28,196.392
97.93,207.102
24.74,104.636
28.42,109.788
67.13,163.982
29.53,111.342
28.34,109.676
5.75,78.05
36.57,121.198
18.7,96.18
85.61,189.854
90.19,196.266
29.44,111.216
95.34,203.476
25.79,106.106
18.18,95.452
47.36,136.304
9.34,83.076
95.16,203.224
79.94,181.916
1.82,72.548
75.83,176.162
15.1,91.14
34.45,118.23
0.41,70.574
12.9,88.06
75.66,175.924
40.13,126.182
57.37,150.318
79.64,181.496
25.54,105.756
33.13,116.382
31.55,114.17
0.93,71.302
36.4,120.96
55.6,147.84
1.26,71.764
73.54,172.956
49.81,139.734
97.31,206.234
89.64,195.496
91.89,198.646
45.89,134.246
99.9,209.86
39.27,124.978
63.61,159.054
60.86,155.204
3.11,74.354
61.64,156.296
28.18,109.452
5.2,77.28
51.76,142.464
57.63,150.682
78.84,180.376
10.54,84.756
52.51,143.514
4.69,76.566
93.93,201.502
69.7,167.58
57.13,149.982
23.45,102.83
44.59,132.426
31.91,114.674
44.44,132.216
9.46,83.244
92.57,199.598
36.29,120.806
32.06,114.884
86.16,190.624
49.86,139.804
96.14,204.596
16.05,92.47
52.13,142.982
51.27,141.778
67.94,165.116
86.77,191.478
74.2,173.88
39.13,124.782
66,162.4
22.48,101.472
54.9,146.86
51.71,142.394
36.07,120.498
5.38,77.532
84.49,188.286
28.93,110.502
89.92,195.888
1.83,72.562
26.71,107.394
49.96,139.944
13.56,88.984
26.93,107.702
85.19,189.266
74.31,174.034
44.9,132.86
81.6,184.24
86.68,191.352
8.77,82.278
75.18,175.252
8.86,82.404
66.61,163.254
5.8,78.12
84.73,188.622
35.34,119.476
97.62,206.668
