x,y
87.72,142.808
79.77,131.678
74.88,124.832
67.05,113.87
73.75,123.25
69.58,117.412
67.21,114.094
72.13,120.982
87.64,142.696
65.42,111.588
83.09,136.326
73.3,122.62
76.75,127.45
69.17,116.838
87.61,142.654
83.56,136.984
75.57,125.798
73.8,123.32
75.75,126.05
97.13,155.982
6.54,29.156
54.31,96.034
57.36,100.304
93.54,150.956
98.26,157.564
87.27,142.178
66.44,113.016
98.24,157.536
27.74,58.836
10.51,34.714
88.17,143.438
22.66,51.724
30.46,62.644
65.24,111.336
1.71,22.394
91.29,147.806
77.43,128.402
68.29,115.606
33.43,66.802
60.4,104.56
15.86,42.204
61.96,106.744
11.05,35.47
23.99,53.586
21.13,49.582
34.79,68.706
22.32,51.248
78.29,129.606
25.38,55.532
94.49,152.286
35.62,69.868
58.2,101.48
98.37,157.718
93.79,151.306
26.98,57.772
30.55,62.77
5.86,28.204
78.96,130.544
93.19,150.466
24.73,54.622
94.91,152.874
61.84,106.576
2.6,23.64
95.93,154.302
95.39,153.546
20.24,48.336
29.93,61.902
68.29,115.606
36.68,71.352
93.29,150.606
30.53,62.742
48.1,87.34
83.17,136.438
8.22,31.508
8.76,32.264
97.71,156.794
13.28,38.592
1.07,21.498
11.16,35.624
20.98,49.372
21.89,50.646
11.51,36.114
3.22,24.508
41.33,77.862
9.72,33.608
10.91,35.274
40.75,77.05
81.92,134.688
54.44,96.216
11.35,35.89
69.49,117.286
50.51,90.714
74.84,124.776
77.35,128.29
81.72,134.408
11.65,36.31
13.48,38.872
79.02,130.628
84.93,138.902
59.13,102.782
70.14,118.196
58.9,102.46
28.64,60.096
43.71,81.194
58.86,102.404
78.67,130.138
94.74,152.636
70.31,118.434
16.2,42.68
58.59,102.026
70.81,119.134
7.86,31.004
91.46,148.044
34.05,67.67
24.06,53.684
66.23,112.722
58.69,102.166
0.18,20.252
20.48,48.672
63.79,109.306
27.38,58.332
39.12,74.768
85.45,139.63
48.89,88.446
81.54,134.156
20.52,48.728
16.33,42.862
82.69,135.766
